item_id,dim_code,n_passes,mode,mean,min,max
scev_val_fig_0001,AS,1,2,2,2,2
scev_val_fig_0001,AT,1,3,3,3,3
scev_val_fig_0001,CL,1,0,0,0,0
scev_val_fig_0001,GS,1,2,2,2,2
scev_val_fig_0001,KNf,1,2,2,2,2
scev_val_fig_0001,MA,1,1,1,1,1
scev_val_fig_0001,MCr,1,1,1,1,1
scev_val_fig_0001,MCu,1,2,2,2,2
scev_val_fig_0001,QLl,1,1,1,1,1
scev_val_fig_0001,QLq,1,1,1,1,1
scev_val_fig_0001,VL,1,2,2,2,2
scev_val_fig_0001,VO,1,1,1,1,1
scev_val_fig_0002,AS,1,3,3,3,3
scev_val_fig_0002,AT,1,3,3,3,3
scev_val_fig_0002,CL,1,1,1,1,1
scev_val_fig_0002,GS,1,3,3,3,3
scev_val_fig_0002,KNf,1,1,1,1,1
scev_val_fig_0002,MA,1,3,3,3,3
scev_val_fig_0002,MCr,1,3,3,3,3
scev_val_fig_0002,MCu,1,2,2,2,2
scev_val_fig_0002,QLl,1,3,3,3,3
scev_val_fig_0002,QLq,1,2,2,2,2
scev_val_fig_0002,VL,1,2,2,2,2
scev_val_fig_0002,VO,1,2,2,2,2
scev_val_fig_0003,AS,1,3,3,3,3
scev_val_fig_0003,AT,1,3,3,3,3
scev_val_fig_0003,CL,1,1,1,1,1
scev_val_fig_0003,GS,1,3,3,3,3
scev_val_fig_0003,KNf,1,0,0,0,0
scev_val_fig_0003,MA,1,3,3,3,3
scev_val_fig_0003,MCr,1,2,2,2,2
scev_val_fig_0003,MCu,1,3,3,3,3
scev_val_fig_0003,QLl,1,2,2,2,2
scev_val_fig_0003,QLq,1,2,2,2,2
scev_val_fig_0003,VL,1,2,2,2,2
scev_val_fig_0003,VO,1,1,1,1,1
scev_val_fig_0004,AS,1,3,3,3,3
scev_val_fig_0004,AT,1,3,3,3,3
scev_val_fig_0004,CL,1,1,1,1,1
scev_val_fig_0004,GS,1,2,2,2,2
scev_val_fig_0004,KNf,1,1,1,1,1
scev_val_fig_0004,MA,1,2,2,2,2
scev_val_fig_0004,MCr,1,2,2,2,2
scev_val_fig_0004,MCu,1,2,2,2,2
scev_val_fig_0004,QLl,1,3,3,3,3
scev_val_fig_0004,QLq,1,2,2,2,2
scev_val_fig_0004,VL,1,2,2,2,2
scev_val_fig_0004,VO,1,1,1,1,1
scev_val_fig_0005,AS,1,2,2,2,2
scev_val_fig_0005,AT,1,3,3,3,3
scev_val_fig_0005,CL,1,0,0,0,0
scev_val_fig_0005,GS,1,0,0,0,0
scev_val_fig_0005,KNf,1,4,4,4,4
scev_val_fig_0005,MA,1,1,1,1,1
scev_val_fig_0005,MCr,1,1,1,1,1
scev_val_fig_0005,MCu,1,0,0,0,0
scev_val_fig_0005,QLl,1,1,1,1,1
scev_val_fig_0005,QLq,1,1,1,1,1
scev_val_fig_0005,VL,1,1,1,1,1
scev_val_fig_0005,VO,1,1,1,1,1
scev_val_fig_0006,AS,1,2,2,2,2
scev_val_fig_0006,AT,1,3,3,3,3
scev_val_fig_0006,CL,1,0,0,0,0
scev_val_fig_0006,GS,1,0,0,0,0
scev_val_fig_0006,KNf,1,4,4,4,4
scev_val_fig_0006,MA,1,1,1,1,1
scev_val_fig_0006,MCr,1,1,1,1,1
