item_index,dimension_name
1,mechanistic_causal_overreach
2,claim_entity_axis_coverage
3,rotated_microlabel_decoding
6,panel_localization_among_many
9,in_figure_answer_printing
20,colormap_value_readout
20,spatial_roi_localization
15,printed_data_label_reliance
14,claim_figure_label_mismatch
11,subgroup_partition_selection
13,small_render_legibility
29,stacked_segment_decomposition
26,claim_figure_scale_mismatch
28,threshold_crossing_localization
25,matrix_axis_orientation_demand
23,target_panel_localization
39,axis_claim_unit_mismatch
40,derived_aggregate_readout
34,color_axis_decoding
40,radial_encoding_literacy
35,small_figure_resolution_strain
33,marker_shape_keying
41,claim_figure_scope_overreach
47,label_value_consistency_check
46,small_text_legibility_demand
45,panel_localization_demand
49,text_entity_matching_demand
52,mechanism_attribution_demand
55,claim_figure_referent_mismatch
60,annotation_overlay_counting
57,label_rotation_legibility
57,exhaustive_set_extremum_demand
70,venn_region_arithmetic
61,significance_bracket_pairing
69,encoded_variable_substitution
80,histogram_bin_localization_readout
79,cross_series_rate_comparison
82,enumerated_list_membership_check
81,shape_convexity_curvature_judgment
85,diagonal_reference_conformance
92,rank_position_verification
98,cluster_count_gestalt
100,external_reference_dependency
97,caption_axis_quantity_conflict
110,slope_estimation_from_line
108,referenced_panel_absent_from_render
108,gap_trend_comparison
119,contour_overlay_extent_reading
120,significance_marker_reading
122,claim_value_axis_unreadable_scale
127,embedded_subplot_value_extraction
129,category_total_aggregation_demand
140,ordinal_step_to_continuous_mapping
138,legend_text_value_substitution
131,parametric_form_conformance
135,unspecified_panel_disambiguation
150,unlabeled_axis_value_ungroundable
146,category_state_attribution
147,multi_panel_directional_aggregation
151,interval_endpoint_growth_computation
154,scatter_centroid_separation_estimation
166,size_encoded_magnitude_readout
170,printed_value_claim_conflict_potential
173,subset_minimum_then_global_contrast
178,filled_area_coverage_estimation
190,claimed_extremum_value_offset
192,event_peak_counting_demand
201,normalized_axis_ratio_recovery
210,combined_total_extremum_search
220,log_decade_gap_counting
215,total_overplot_coincidence_judgment
219,inverted_axis_direction_tracking
224,exact_statistic_without_printed_value
229,claim_panel_number_vs_caption_letter
240,horizontal_reference_compliance_check
233,normalized_axis_absolute_claim_gap
238,upset_intersection_row_reading
247,convergence_epoch_localization
242,area_normalized_distribution_reading
260,convergence_plateau_judgment
260,regime_split_event_partition
257,categorical_proportion_summation
261,claim_named_entity_to_unlabeled_mark_binding
276,claim_coordinate_granularity_mismatch
290,compressed_high_value_band_discrimination
289,colorbar_sign_range_mismatch
283,unlabeled_radial_spoke_identification
300,fitted_trend_vs_raw_point_selection
298,axis_chrome_legibility_failure
