sub_dimension,parent_dimension,origin
annotation_overlay_counting,multi_element_reasoning,emergent
area_normalized_distribution_reading,gestalt_shape,emergent
attention_scan_demand,localization_grounding,seeded
axis_chrome_legibility_failure,legibility_render,emergent
axis_claim_unit_mismatch,referent_mismatch,emergent
axis_complexity,encoding_literacy,seeded
caption_axis_quantity_conflict,referent_mismatch,emergent
caption_sufficiency,unassigned,seeded
categorical_proportion_summation,multi_element_reasoning,emergent
category_state_attribution,localization_grounding,emergent
category_total_aggregation_demand,multi_element_reasoning,emergent
chart_type,unassigned,seeded
claim_coordinate_granularity_mismatch,referent_mismatch,emergent
claim_entity_axis_coverage,referent_mismatch,emergent
claim_figure_label_mismatch,referent_mismatch,emergent
claim_figure_referent_mismatch,referent_mismatch,emergent
claim_figure_scale_mismatch,referent_mismatch,emergent
claim_figure_scope_overreach,scope_overreach,emergent
claim_length_atomic_assertions,claim_linguistic_load,seeded
claim_named_entity_to_unlabeled_mark_binding,localization_grounding,emergent
claim_panel_number_vs_caption_letter,referent_mismatch,emergent
claim_value_axis_unreadable_scale,referent_mismatch,emergent
claimed_extremum_value_offset,value_readout,emergent
cluster_count_gestalt,gestalt_shape,emergent
color_axis_decoding,value_readout,emergent
colorbar_sign_range_mismatch,referent_mismatch,emergent
colormap_value_readout,value_readout,emergent
combined_total_extremum_search,multi_element_reasoning,emergent
compressed_high_value_band_discrimination,legibility_render,emergent
contour_overlay_extent_reading,gestalt_shape,emergent
convergence_epoch_localization,gestalt_shape,emergent
convergence_plateau_judgment,gestalt_shape,emergent
cross_panel_synthesis,multi_element_reasoning,seeded
cross_series_rate_comparison,gestalt_shape,emergent
data_elements_to_integrate,multi_element_reasoning,seeded
derived_aggregate_readout,multi_element_reasoning,emergent
diagonal_reference_conformance,gestalt_shape,emergent
domain_knowledge_demand,unassigned,seeded
embedded_subplot_value_extraction,value_readout,emergent
encoded_variable_substitution,referent_mismatch,emergent
encoding_convention_literacy,encoding_literacy,seeded
enumerated_list_membership_check,claim_linguistic_load,emergent
event_peak_counting_demand,multi_element_reasoning,emergent
exact_statistic_without_printed_value,scope_overreach,emergent
exhaustive_set_extremum_demand,multi_element_reasoning,emergent
external_reference_dependency,scope_overreach,emergent
filled_area_coverage_estimation,gestalt_shape,emergent
fitted_trend_vs_raw_point_selection,localization_grounding,emergent
gap_trend_comparison,gestalt_shape,emergent
histogram_bin_localization_readout,value_readout,emergent
horizontal_reference_compliance_check,gestalt_shape,emergent
in_figure_answer_printing,value_readout,emergent
interval_endpoint_growth_computation,multi_element_reasoning,emergent
inverted_axis_direction_tracking,encoding_literacy,emergent
label_indirection,localization_grounding,seeded
label_rotation_legibility,legibility_render,emergent
label_value_consistency_check,referent_mismatch,emergent
legend_complexity,localization_grounding,seeded
legend_text_value_substitution,value_readout,emergent
log_decade_gap_counting,multi_element_reasoning,emergent
lookup_vs_gestalt,gestalt_shape,seeded
marker_shape_keying,localization_grounding,emergent
marks_clipped_occluded,legibility_render,seeded
matrix_axis_orientation_demand,encoding_literacy,emergent
mechanism_attribution_demand,scope_overreach,emergent
mechanistic_causal_overreach,scope_overreach,emergent
multi_panel_directional_aggregation,claim_linguistic_load,emergent
near_tie_discrimination,value_readout,seeded
negation_present,claim_linguistic_load,seeded
normalized_axis_absolute_claim_gap,referent_mismatch,emergent
normalized_axis_ratio_recovery,referent_mismatch,emergent
numeric_specificity,claim_linguistic_load,seeded
ordinal_step_to_continuous_mapping,encoding_literacy,emergent
panel_count_layout,localization_grounding,seeded
panel_localization_among_many,localization_grounding,emergent
panel_localization_demand,localization_grounding,emergent
parametric_form_conformance,gestalt_shape,emergent
printed_data_label_reliance,value_readout,emergent
printed_value_claim_conflict_potential,value_readout,emergent
quantifier_strength,claim_linguistic_load,seeded
quantitative_reasoning,multi_element_reasoning,seeded
radial_encoding_literacy,encoding_literacy,emergent
rank_position_verification,multi_element_reasoning,emergent
readout_precision,value_readout,seeded
referenced_panel_absent_from_render,referent_mismatch,emergent
regime_split_event_partition,gestalt_shape,emergent
rotated_microlabel_decoding,legibility_render,emergent
scatter_centroid_separation_estimation,gestalt_shape,emergent
shape_convexity_curvature_judgment,gestalt_shape,emergent
significance_bracket_pairing,localization_grounding,emergent
significance_marker_reading,value_readout,emergent
size_encoded_magnitude_readout,value_readout,emergent
slope_estimation_from_line,gestalt_shape,emergent
small_figure_resolution_strain,legibility_render,emergent
small_render_legibility,legibility_render,emergent
small_text_legibility_demand,legibility_render,emergent
spatial_roi_localization,localization_grounding,emergent
stacked_segment_decomposition,encoding_literacy,emergent
subgroup_partition_selection,localization_grounding,emergent
subset_minimum_then_global_contrast,multi_element_reasoning,emergent
target_panel_localization,localization_grounding,emergent
text_entity_matching_demand,localization_grounding,emergent
threshold_crossing_localization,gestalt_shape,emergent
total_overplot_coincidence_judgment,legibility_render,emergent
uncertainty_elements,gestalt_shape,seeded
unlabeled_axis_value_ungroundable,referent_mismatch,emergent
unlabeled_radial_spoke_identification,localization_grounding,emergent
unspecified_panel_disambiguation,localization_grounding,emergent
upset_intersection_row_reading,encoding_literacy,emergent
venn_region_arithmetic,multi_element_reasoning,emergent
visual_density_clutter,legibility_render,seeded
vlat_task_type,unassigned,seeded
