item_id,source,paper_id,figure_path
sciver_test_0724,sciver,2410.07196v1,feature_discovery/figures/sciver_test_0724.png
sciver_test_0706,sciver,2410.20348v1,feature_discovery/figures/sciver_test_0706.png
sciver_val_0269,sciver,2410.04927v2,feature_discovery/figures/sciver_val_0269.png
sciver_test_0593,sciver,2411.18432v1,feature_discovery/figures/sciver_test_0593.png
sciver_test_0721,sciver,2410.09133v1,feature_discovery/figures/sciver_test_0721.png
sciver_test_0615,sciver,2410.03030v1,feature_discovery/figures/sciver_test_0615.png
sciver_test_0500,sciver,2409.19351v1,feature_discovery/figures/sciver_test_0500.png
sciver_test_0585,sciver,2409.17455v1,feature_discovery/figures/sciver_test_0585.png
sciver_val_0375,sciver,2411.17640v1,feature_discovery/figures/sciver_val_0375.png
sciver_test_0613,sciver,2411.05174v1,feature_discovery/figures/sciver_test_0613.png
sciver_test_0702,sciver,2411.10018v1,feature_discovery/figures/sciver_test_0702.png
sciver_val_0285,sciver,2411.06018v1,feature_discovery/figures/sciver_val_0285.png
sciver_val_0376,sciver,2411.18328v1,feature_discovery/figures/sciver_val_0376.png
sciver_val_0349,sciver,2410.19472v1,feature_discovery/figures/sciver_val_0349.png
sciver_val_0290,sciver,2410.05046v1,feature_discovery/figures/sciver_val_0290.png
sciver_val_0261,sciver,2410.20483v2,feature_discovery/figures/sciver_val_0261.png
sciver_val_0321,sciver,2410.20441v1,feature_discovery/figures/sciver_val_0321.png
sciver_test_0733,sciver,2410.23844v1,feature_discovery/figures/sciver_test_0733.png
sciver_val_0262,sciver,2410.03577v1,feature_discovery/figures/sciver_val_0262.png
sciver_val_0270,sciver,2411.11449v1,feature_discovery/figures/sciver_val_0270.png
sciver_test_0632,sciver,2409.18783v2,feature_discovery/figures/sciver_test_0632.png
sciver_test_0546,sciver,2411.10322v1,feature_discovery/figures/sciver_test_0546.png
sciver_test_0576,sciver,2411.04188v3,feature_discovery/figures/sciver_test_0576.png
sciver_test_0529,sciver,2411.01844v1,feature_discovery/figures/sciver_test_0529.png
sciver_test_0506,sciver,2411.10703v1,feature_discovery/figures/sciver_test_0506.png
sciver_test_0739,sciver,2411.07050v1,feature_discovery/figures/sciver_test_0739.png
sciver_test_0532,sciver,2410.03225v2,feature_discovery/figures/sciver_test_0532.png
sciver_val_0369,sciver,2410.15592v2,feature_discovery/figures/sciver_val_0369.png
sciver_val_0336,sciver,2409.17134v1,feature_discovery/figures/sciver_val_0336.png
sciver_val_0259,sciver,2411.14751v1,feature_discovery/figures/sciver_val_0259.png
sciver_val_0287,sciver,2410.20797v1,feature_discovery/figures/sciver_val_0287.png
sciver_val_0266,sciver,2409.13873v1,feature_discovery/figures/sciver_val_0266.png
