item_id,source,localization_grounding,value_readout,referent_mismatch,multi_element_reasoning,gestalt_shape,encoding_literacy,legibility_render,claim_linguistic_load,scope_overreach,tally_depth
sciver_test_0235,sciver,3,2,0,2,1,1,2,2,0,23
sciver_val_0189,sciver,4,2,0,3,2,1,2,3,0,23
scev_val_fig_0262,sciclaimeval,3,2,0,1,2,1,2,2,0,23
scev_val_fig_0297,sciclaimeval,4,2,0,2,2,1,2,1,0,23
scev_val_fig_0298,sciclaimeval,4,2,0,2,2,1,2,1,0,23
sciver_test_0724,sciver,4,2,0,2,1,1,2,3,0,23
scev_val_fig_1542,sciclaimeval,3,2,0,1,2,1,2,2,0,23
sciver_val_0012,sciver,4,2,0,3,1,1,2,2,0,23
sciver_val_0132,sciver,4,2,0,2,1,2,2,2,0,23
sciver_test_0955,sciver,4,2,0,2,1,1,2,2,0,23
scev_val_fig_0181,sciclaimeval,3,2,0,3,1,0,2,3,0,23
scev_val_fig_1505,sciclaimeval,4,2,0,3,2,1,2,2,0,23
sciver_val_0009,sciver,4,2,0,3,1,0,2,2,0,23
sciver_val_0422,sciver,2,2,0,2,2,1,1,2,0,23
sciver_test_0562,sciver,3,1,0,2,1,0,0,2,0,23
sciver_val_0321,sciver,3,2,0,2,1,2,0,2,0,23
sciver_test_0082,sciver,3,2,0,2,2,2,2,2,0,23
scev_val_fig_0057,sciclaimeval,4,2,0,2,1,0,1,2,0,23
sciver_test_0069,sciver,4,2,0,3,1,0,2,3,0,23
sciver_test_0749,sciver,4,2,0,3,1,2,2,2,0,23
sciver_test_0544,sciver,3,2,0,2,1,2,2,2,0,23
scev_val_fig_1523,sciclaimeval,4,2,0,3,1,1,1,3,0,23
scev_val_fig_0241,sciclaimeval,4,2,0,3,1,1,2,2,0,23
scev_val_fig_1545,sciclaimeval,4,2,0,3,1,1,2,2,0,23
scev_val_fig_1552,sciclaimeval,4,1,0,1,0,1,1,3,0,23
sciver_test_0757,sciver,2,2,0,2,1,0,0,2,0,23
scev_val_fig_0106,sciclaimeval,3,2,0,1,1,0,2,2,0,23
sciver_test_0994,sciver,3,2,0,2,2,2,2,2,0,23
sciver_val_0455,sciver,3,2,0,2,1,1,2,2,0,23
sciver_val_0375,sciver,3,2,0,2,1,1,2,3,0,23
sciver_val_0106,sciver,1,2,0,2,2,1,1,2,0,23
sciver_val_0194,sciver,3,2,0,2,1,0,2,2,0,23
sciver_val_0155,sciver,4,2,0,3,2,1,2,2,0,23
sciver_test_0027,sciver,3,2,0,2,1,0,1,2,0,23
sciver_test_0844,sciver,3,2,0,2,1,1,2,2,0,23
sciver_val_0373,sciver,3,1,0,2,1,0,1,2,0,23
