items_annotated,new_dimension,cumulative_unique_features
1,mechanistic_causal_overreach,1
2,claim_entity_axis_coverage,2
3,rotated_microlabel_decoding,3
6,panel_localization_among_many,4
9,in_figure_answer_printing,5
11,subgroup_partition_selection,6
13,small_render_legibility,7
14,claim_figure_label_mismatch,8
15,printed_data_label_reliance,9
20,colormap_value_readout,10
20,spatial_roi_localization,11
23,target_panel_localization,12
25,matrix_axis_orientation_demand,13
26,claim_figure_scale_mismatch,14
28,threshold_crossing_localization,15
29,stacked_segment_decomposition,16
33,marker_shape_keying,17
34,color_axis_decoding,18
35,small_figure_resolution_strain,19
39,axis_claim_unit_mismatch,20
40,derived_aggregate_readout,21
40,radial_encoding_literacy,22
41,claim_figure_scope_overreach,23
45,panel_localization_demand,24
46,small_text_legibility_demand,25
47,label_value_consistency_check,26
49,text_entity_matching_demand,27
52,mechanism_attribution_demand,28
55,claim_figure_referent_mismatch,29
57,exhaustive_set_extremum_demand,30
57,label_rotation_legibility,31
60,annotation_overlay_counting,32
61,significance_bracket_pairing,33
69,encoded_variable_substitution,34
70,venn_region_arithmetic,35
79,cross_series_rate_comparison,36
80,histogram_bin_localization_readout,37
81,shape_convexity_curvature_judgment,38
82,enumerated_list_membership_check,39
85,diagonal_reference_conformance,40
92,rank_position_verification,41
97,caption_axis_quantity_conflict,42
98,cluster_count_gestalt,43
100,external_reference_dependency,44
108,gap_trend_comparison,45
108,referenced_panel_absent_from_render,46
110,slope_estimation_from_line,47
119,contour_overlay_extent_reading,48
120,significance_marker_reading,49
122,claim_value_axis_unreadable_scale,50
127,embedded_subplot_value_extraction,51
129,category_total_aggregation_demand,52
131,parametric_form_conformance,53
135,unspecified_panel_disambiguation,54
138,legend_text_value_substitution,55
140,ordinal_step_to_continuous_mapping,56
146,category_state_attribution,57
147,multi_panel_directional_aggregation,58
150,unlabeled_axis_value_ungroundable,59
151,interval_endpoint_growth_computation,60
154,scatter_centroid_separation_estimation,61
166,size_encoded_magnitude_readout,62
170,printed_value_claim_conflict_potential,63
173,subset_minimum_then_global_contrast,64
178,filled_area_coverage_estimation,65
190,claimed_extremum_value_offset,66
192,event_peak_counting_demand,67
201,normalized_axis_ratio_recovery,68
210,combined_total_extremum_search,69
215,total_overplot_coincidence_judgment,70
219,inverted_axis_direction_tracking,71
220,log_decade_gap_counting,72
224,exact_statistic_without_printed_value,73
229,claim_panel_number_vs_caption_letter,74
233,normalized_axis_absolute_claim_gap,75
238,upset_intersection_row_reading,76
240,horizontal_reference_compliance_check,77
242,area_normalized_distribution_reading,78
247,convergence_epoch_localization,79
257,categorical_proportion_summation,80
260,convergence_plateau_judgment,81
260,regime_split_event_partition,82
261,claim_named_entity_to_unlabeled_mark_binding,83
276,claim_coordinate_granularity_mismatch,84
283,unlabeled_radial_spoke_identification,85
289,colorbar_sign_range_mismatch,86
290,compressed_high_value_band_discrimination,87
298,axis_chrome_legibility_failure,88
300,fitted_trend_vs_raw_point_selection,89
