parent_dimension,sub_dimension,origin
localization_grounding,attention_scan_demand,seeded
localization_grounding,category_state_attribution,emergent
localization_grounding,claim_named_entity_to_unlabeled_mark_binding,emergent
localization_grounding,fitted_trend_vs_raw_point_selection,emergent
localization_grounding,label_indirection,seeded
localization_grounding,legend_complexity,seeded
localization_grounding,marker_shape_keying,emergent
localization_grounding,panel_count_layout,seeded
localization_grounding,panel_localization_among_many,emergent
localization_grounding,panel_localization_demand,emergent
localization_grounding,significance_bracket_pairing,emergent
localization_grounding,spatial_roi_localization,emergent
localization_grounding,subgroup_partition_selection,emergent
localization_grounding,target_panel_localization,emergent
localization_grounding,text_entity_matching_demand,emergent
localization_grounding,unlabeled_radial_spoke_identification,emergent
localization_grounding,unspecified_panel_disambiguation,emergent
value_readout,claimed_extremum_value_offset,emergent
value_readout,color_axis_decoding,emergent
value_readout,colormap_value_readout,emergent
value_readout,embedded_subplot_value_extraction,emergent
value_readout,histogram_bin_localization_readout,emergent
value_readout,in_figure_answer_printing,emergent
value_readout,legend_text_value_substitution,emergent
value_readout,near_tie_discrimination,seeded
value_readout,printed_data_label_reliance,emergent
value_readout,printed_value_claim_conflict_potential,emergent
value_readout,readout_precision,seeded
value_readout,significance_marker_reading,emergent
value_readout,size_encoded_magnitude_readout,emergent
referent_mismatch,axis_claim_unit_mismatch,emergent
referent_mismatch,caption_axis_quantity_conflict,emergent
referent_mismatch,claim_coordinate_granularity_mismatch,emergent
referent_mismatch,claim_entity_axis_coverage,emergent
referent_mismatch,claim_figure_label_mismatch,emergent
referent_mismatch,claim_figure_referent_mismatch,emergent
referent_mismatch,claim_figure_scale_mismatch,emergent
referent_mismatch,claim_panel_number_vs_caption_letter,emergent
referent_mismatch,claim_value_axis_unreadable_scale,emergent
referent_mismatch,colorbar_sign_range_mismatch,emergent
referent_mismatch,encoded_variable_substitution,emergent
referent_mismatch,label_value_consistency_check,emergent
referent_mismatch,normalized_axis_absolute_claim_gap,emergent
referent_mismatch,normalized_axis_ratio_recovery,emergent
referent_mismatch,referenced_panel_absent_from_render,emergent
referent_mismatch,unlabeled_axis_value_ungroundable,emergent
multi_element_reasoning,annotation_overlay_counting,emergent
multi_element_reasoning,categorical_proportion_summation,emergent
multi_element_reasoning,category_total_aggregation_demand,emergent
multi_element_reasoning,combined_total_extremum_search,emergent
multi_element_reasoning,cross_panel_synthesis,seeded
multi_element_reasoning,data_elements_to_integrate,seeded
multi_element_reasoning,derived_aggregate_readout,emergent
multi_element_reasoning,event_peak_counting_demand,emergent
multi_element_reasoning,exhaustive_set_extremum_demand,emergent
multi_element_reasoning,interval_endpoint_growth_computation,emergent
multi_element_reasoning,log_decade_gap_counting,emergent
multi_element_reasoning,quantitative_reasoning,seeded
multi_element_reasoning,rank_position_verification,emergent
multi_element_reasoning,subset_minimum_then_global_contrast,emergent
multi_element_reasoning,venn_region_arithmetic,emergent
gestalt_shape,area_normalized_distribution_reading,emergent
gestalt_shape,cluster_count_gestalt,emergent
gestalt_shape,contour_overlay_extent_reading,emergent
gestalt_shape,convergence_epoch_localization,emergent
gestalt_shape,convergence_plateau_judgment,emergent
gestalt_shape,cross_series_rate_comparison,emergent
gestalt_shape,diagonal_reference_conformance,emergent
gestalt_shape,filled_area_coverage_estimation,emergent
gestalt_shape,gap_trend_comparison,emergent
gestalt_shape,horizontal_reference_compliance_check,emergent
gestalt_shape,lookup_vs_gestalt,seeded
gestalt_shape,parametric_form_conformance,emergent
gestalt_shape,regime_split_event_partition,emergent
gestalt_shape,scatter_centroid_separation_estimation,emergent
gestalt_shape,shape_convexity_curvature_judgment,emergent
gestalt_shape,slope_estimation_from_line,emergent
gestalt_shape,threshold_crossing_localization,emergent
gestalt_shape,uncertainty_elements,seeded
encoding_literacy,axis_complexity,seeded
encoding_literacy,encoding_convention_literacy,seeded
encoding_literacy,inverted_axis_direction_tracking,emergent
encoding_literacy,matrix_axis_orientation_demand,emergent
encoding_literacy,ordinal_step_to_continuous_mapping,emergent
encoding_literacy,radial_encoding_literacy,emergent
encoding_literacy,stacked_segment_decomposition,emergent
encoding_literacy,upset_intersection_row_reading,emergent
legibility_render,axis_chrome_legibility_failure,emergent
legibility_render,compressed_high_value_band_discrimination,emergent
legibility_render,label_rotation_legibility,emergent
legibility_render,marks_clipped_occluded,seeded
legibility_render,rotated_microlabel_decoding,emergent
legibility_render,small_figure_resolution_strain,emergent
legibility_render,small_render_legibility,emergent
legibility_render,small_text_legibility_demand,emergent
legibility_render,total_overplot_coincidence_judgment,emergent
legibility_render,visual_density_clutter,seeded
claim_linguistic_load,claim_length_atomic_assertions,seeded
claim_linguistic_load,enumerated_list_membership_check,emergent
claim_linguistic_load,multi_panel_directional_aggregation,emergent
claim_linguistic_load,negation_present,seeded
claim_linguistic_load,numeric_specificity,seeded
claim_linguistic_load,quantifier_strength,seeded
scope_overreach,claim_figure_scope_overreach,emergent
scope_overreach,exact_statistic_without_printed_value,emergent
scope_overreach,external_reference_dependency,emergent
scope_overreach,mechanism_attribution_demand,emergent
scope_overreach,mechanistic_causal_overreach,emergent
unassigned,caption_sufficiency,seeded
unassigned,chart_type,seeded
unassigned,domain_knowledge_demand,seeded
unassigned,vlat_task_type,seeded
